,abv,ibu,diff_g,boil_time,efficiency,ferm_total_weight,ferm_type_base_malt,ferm_type_crystal_malt,ferm_type_roasted_malt,ferm_type_other,ferm_type_extract,ferm_type_sugar,ferm_type_raw,ferm_type_acidulated_malt,ferm_type_fruit,ferm_type_gluten_free_malt,hops_type_pellet,hops_type_leaf_whole,hops_type_plug,other_type_spice,other_type_water_agt,other_type_other,other_type_fining,other_type_flavor,other_type_herb,yeast_attenuation,method_all_grain,method_biab,method_extract,method_partial_mash,yeast_form_dry,yeast_form_liquid,yeast_flocculation_high,yeast_flocculation_low,yeast_flocculation_medium
24092,6.26,69.74,0.04800000000000004,60,75.0,12.42,9.0,1.1,0.0,0.0,0.0,1.0,1.32,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,1,0,81.0,1,0,0,0,1,0,0,0,1
24109,4.42,24.55,0.03400000000000003,60,58.0,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0,0,0,0,0,0,80.0,1,0,0,0,1,0,0,1,0
24111,7.09,35.4,0.05400000000000005,60,80.0,13.94,11.5,0.5,1.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1,0,1,0,0,0,75.0,1,0,0,0,0,1,0,0,1
24127,5.11,30.43,0.039000000000000146,60,75.0,11.574255,10.361714,0.6613859999999999,0.5511550000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543234,0.0,0.0,0,0,0,0,0,0,73.0,1,0,0,0,0,1,0,0,1
24146,5.59,48.26,0.04200000000000004,90,70.0,11.25,10.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0,0,1,0,1,0,74.0,1,0,0,0,0,1,0,0,1
24174,6.59,45.43,0.050000000000000044,60,68.0,12.64,12.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,80.0,0,1,0,0,1,0,0,1,0
24295,6.88,24.46,0.052000000000000046,60,60.0,17.0,15.0,0.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0,0,0,0,0,0,78.0,1,0,0,0,0,1,0,1,0
24300,6.22,45.18,0.04700000000000015,60,80.0,11.0231,9.920789999999998,0.440924,0.440924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5070626,0.0,0.0,0,0,0,1,0,0,81.0,1,0,0,0,1,0,0,0,1
24354,9.26,45.15,0.07000000000000006,60,75.0,15.55,10.0,1.5,0.75,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.40625,0.0,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
24355,2.59,33.96,0.020000000000000018,90,70.0,2.20462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08377556,0.0,0.0,0,0,0,0,0,0,73.0,0,1,0,0,1,0,0,1,0
24368,8.8,66.77,0.06699999999999995,90,70.0,19.63,15.0,2.0,0.875,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.1875,0.0,0.0,0,0,0,0,1,0,75.0,1,0,0,0,1,0,1,0,0
24392,5.89,132.7,0.04500000000000015,60,70.0,26.0,23.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0,0,0,1,0,0,81.0,1,0,0,0,1,0,0,0,1
24416,4.2,34.81,0.03200000000000003,60,82.0,15.1,13.5,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26875,0.0,0.0,0,1,0,1,0,0,75.0,1,0,0,0,1,0,1,0,0
24425,5.95,38.26,0.04500000000000015,15,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12643398,0.0,0.0,0,0,1,1,0,0,81.0,0,0,1,0,1,0,0,0,1
24480,6.5,47.23,0.050000000000000044,60,73.0,29.76237,27.55775,0.0,0.0,0.0,0.0,0.0,2.20462,0.0,0.0,0.0,0.110231,0.330693,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
24482,5.2,26.71,0.04000000000000026,60,100.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0,0,0,1,0,0,81.0,0,0,1,0,1,0,0,0,1
24525,6.66,60.2,0.04800000000000004,60,70.0,13.5,11.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.25,0.0,0,0,0,1,0,0,74.0,1,0,0,0,0,1,1,0,0
24723,5.56,37.56,0.04200000000000004,90,70.0,11.39,10.0,1.39375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159375,0.0,0.0,0,0,0,0,0,0,75.0,1,0,0,0,0,1,0,0,1
24730,5.91,14.72,0.04499999999999993,60,75.0,11.574255,11.0231,0.0,0.5511550000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322772,0.0,0.0,0,0,0,1,0,0,83.0,1,0,0,0,1,0,1,0,0
24771,6.58,69.0,0.050000000000000044,90,70.0,14.82,13.93,0.88875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4717886800000001,0.0,0.0,0,0,0,1,0,0,76.5,1,0,0,0,0,1,0,0,1
24900,12.83,100.72,0.09800000000000009,90,68.5,21.08,16.5,1.0625,2.19,0.0,0.0,0.82625,0.5,0.0,0.0,0.0,0.22,0.0,0.0,0,0,0,0,1,0,81.5,1,0,0,0,0,1,0,0,1
24969,11.14,88.99,0.08400000000000007,60,60.0,25.5,13.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.09375,0.0,0.0,0,0,0,1,1,0,81.0,0,1,0,0,1,0,0,0,1
24973,4.64,25.01,0.03500000000000014,60,55.0,23.5,18.0,2.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,76.5,1,0,0,0,0,1,0,0,1
25006,6.75,66.31,0.052000000000000046,60,70.0,14.0,12.6875,0.4375,0.0,0.0,0.0,0.5,0.375,0.0,0.0,0.0,0.75,0.0,0.0,0,1,1,1,0,0,81.0,1,0,0,0,1,0,0,0,1
25027,5.17,49.46,0.038999999999999924,60,75.0,10.77,9.2,0.0,1.35,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0,0,0,0,0,0,69.0,1,0,0,0,0,1,1,0,0
